All episodes rewards:
Episode 31: -529.5 points
Episode 32: -379.0 points
Episode 33: -457.5 points
Episode 34: -597.5 points
Episode 35: -299.0 points
Episode 36: 298.0 points
Episode 37: -467.0 points
Episode 38: -295.5 points
Episode 39: -375.5 points
Episode 40: -475.5 points
Episode 41: -399.5 points
Episode 42: -436.5 points
Episode 43: -315.5 points
Episode 44: -385.5 points
Episode 45: -293.0 points
Episode 46: -304.0 points
Episode 47: -489.5 points
Episode 48: -520.5 points
Episode 49: -398.5 points
Episode 50: 288.0 points

03.09:
All episodes rewards:
Episode 1: -508.0 points
Episode 2: -700.5 points
Episode 3: -463.5 points
Episode 4: -614.0 points
Episode 5: -238.5 points
Episode 6: -445.0 points
Episode 7: -520.0 points
Episode 8: -294.0 points
Episode 9: -467.0 points
Episode 10: -425.0 points
Episode 11: -510.5 points
Episode 12: -486.5 points
Episode 13: 249.0 points
Episode 14: -331.5 points
Episode 15: -323.5 points
Episode 16: 138.5 points
Episode 17: -325.5 points
Episode 18: -439.0 points
Episode 19: 274.5 points
Episode 20: 338.5 points
Episode 21: 314.0 points
Episode 22: -284.0 points
Episode 23: -384.0 points
Episode 24: -282.5 points
Episode 25: -470.5 points
Episode 26: -405.5 points
Episode 27: -458.5 points
Episode 28: -409.0 points
Episode 29: -517.0 points
Episode 30: -378.0 points
Episode 31: -311.5 points
Episode 32: -525.0 points
Episode 33: 361.5 points
Episode 34: -393.0 points
Episode 35: -453.5 points
Episode 36: -398.0 points
Episode 37: -593.0 points
Episode 38: -337.0 points
Episode 39: -441.0 points
Episode 40: 195.5 points
Episode 41: -359.5 points
Episode 42: -439.5 points
Episode 43: 200.5 points
Episode 44: -385.0 points
Episode 45: -353.0 points
Episode 46: -442.0 points
Episode 47: -290.0 points
Episode 48: -481.0 points
Episode 49: 190.0 points
Episode 50: -444.0 points
Episode 51: -382.0 points
Episode 52: -288.5 points
Episode 53: -428.5 points
Episode 54: -424.5 points
Episode 55: -422.0 points
Episode 56: -363.5 points
Episode 57: 246.5 points
Episode 58: -314.0 points
Episode 59: -328.5 points
Episode 60: -657.0 points
Episode 61: 169.5 points
Episode 62: -518.5 points
Episode 63: -471.5 points
Episode 64: -299.5 points
Episode 65: -305.0 points
Episode 66: -453.0 points
Episode 67: -246.0 points
Episode 68: -340.5 points
Episode 69: -324.0 points
